ItemType,ReceivedQuantity,SoldQuantity,EndQuantity,LatestOrder,StockedOut,GroupID,MissedSales,Days,Weekday,National Holiday
Unassigned,4.0,1.0,4.0,9,0,3.0,0.0,2.0,0,0
Unassigned,1.0,2.0,1.0,21,0,3.0,0.0,2.0,0,0
Core,6.0,4.0,0.0,16,0,3.0,0.0,2.0,0,0
Core,8.0,6.0,0.0,16,0,3.0,0.0,2.0,0,0
Core,8.0,7.0,0.0,15,1,3.0,0.618387,2.0,0,0
Core,10.0,3.0,0.0,18,0,3.0,0.0,2.0,0,0
Core,6.0,2.0,0.0,12,0,3.0,0.0,2.0,0,0
Core,2.0,1.0,0.0,15,1,3.0,0.738732,2.0,0,0
Unassigned,4.0,3.0,4.0,9,0,3.0,0.0,2.0,0,0
Core,8.0,4.0,0.0,19,0,3.0,0.0,2.0,0,0
Core,6.0,6.0,0.0,16,1,3.0,0.258101,2.0,0,0
Core,8.0,2.0,8.0,16,0,3.0,0.0,2.0,0,0
Core,10.0,6.0,0.0,16,0,3.0,0.0,2.0,0,0
Unassigned,2.0,0.0,2.0,0,0,3.0,0.0,3.0,0,0
Unassigned,1.0,1.0,0.0,15,1,3.0,0.195563,3.0,0,0
Core,6.0,6.0,0.0,11,1,3.0,1.188279,3.0,0,0
Core,6.0,4.0,0.0,11,0,3.0,0.0,3.0,0,0
Core,10.0,3.0,0.0,10,0,3.0,0.0,3.0,0,0
Core,6.0,6.0,0.0,12,1,3.0,1.477843,3.0,0,0
Core,4.0,3.0,0.0,17,0,3.0,0.0,3.0,0,0
Core,2.0,2.0,12.0,17,0,3.0,0.0,3.0,0,0
Unassigned,4.0,5.0,1.0,11,0,3.0,0.0,3.0,0,0
Core,6.0,6.0,0.0,20,1,3.0,0.070192,3.0,0,0
Core,6.0,2.0,0.0,11,0,3.0,0.0,3.0,0,0
Core,8.0,4.0,8.0,13,0,3.0,0.0,3.0,0,0
Core,8.0,8.0,0.0,15,1,3.0,0.620563,3.0,0,0
Unassigned,5.0,2.0,5.0,18,0,3.0,0.0,1.0,1,0
Unassigned,2.0,1.0,1.0,8,0,3.0,0.0,1.0,1,0
Core,6.0,5.0,0.0,12,1,3.0,0.749616,1.0,1,0
Core,6.0,4.0,0.0,15,0,3.0,0.0,1.0,1,0
Core,8.0,5.0,0.0,17,0,3.0,0.0,1.0,1,0
Core,8.0,3.0,0.0,20,0,3.0,0.0,1.0,1,0
Core,6.0,1.0,0.0,9,0,3.0,0.0,1.0,1,0
Core,2.0,2.0,12.0,14,0,3.0,0.0,1.0,1,0
Unassigned,3.0,4.0,0.0,12,1,3.0,0.611476,1.0,1,0
Core,8.0,4.0,0.0,21,0,3.0,0.0,1.0,1,0
