StoreID,BusinessDate,PLU,Description,ReceivedQuantity,EndQuantity,SoldQuantity,PredictedSoldQuantity
332,2019-06-29,3000227,Caprese Sandwich,4.0,3.0,1.0,1.0
332,2019-06-29,3000278,Breakfast Burrito Egg Beans & Rice,2.0,0.0,3.0,3.0
332,2019-06-29,820602,Everything Bagel,12.0,0.0,3.0,3.0
332,2019-06-29,820801,Blueberry Scone,6.0,0.0,3.0,3.0
332,2019-06-29,820902,Butter Croissant,8.0,0.0,6.0,6.0
332,2019-06-29,820224,Chocolate Croissant,8.0,0.0,6.0,6.0
332,2019-06-29,810703,Cinnamon Roll,6.0,0.0,4.0,4.0
332,2019-06-29,3000210,Cookie - Chocolate Chunk,6.0,0.0,3.0,3.0
332,2019-06-29,3000159,Egg| Spinach & Cheddar Sandwich on Ciabatta,8.0,5.0,10.0,10.0
332,2019-06-29,3000207,Danish - Classic Cheese,6.0,0.0,5.0,5.0
332,2019-06-29,3000209,Croissant - White Cheddar Jalapeno,6.0,0.0,3.0,3.0
332,2019-06-29,3000214,Coffee Cake with Streusel,8.0,4.0,11.0,11.0
332,2019-06-29,841402,Almond Croissant,8.0,0.0,2.0,2.0
332,2019-06-30,3000227,Caprese Sandwich,6.0,4.0,5.0,5.0
332,2019-06-30,3000278,Breakfast Burrito Egg Beans & Rice,2.0,0.0,2.0,2.0
332,2019-06-30,820602,Everything Bagel,9.0,0.0,10.0,10.0
332,2019-06-30,820801,Blueberry Scone,6.0,0.0,5.0,5.0
332,2019-06-30,820902,Butter Croissant,12.0,0.0,3.0,3.0
332,2019-06-30,820224,Chocolate Croissant,10.0,0.0,7.0,7.0
332,2019-06-30,810703,Cinnamon Roll,6.0,0.0,3.0,3.0
332,2019-06-30,3000210,Cookie - Chocolate Chunk,4.0,0.0,2.0,2.0
332,2019-06-30,3000159,Egg| Spinach & Cheddar Sandwich on Ciabatta,9.0,6.0,8.0,8.0
332,2019-06-30,3000207,Danish - Classic Cheese,6.0,0.0,2.0,2.0
332,2019-06-30,3000209,Croissant - White Cheddar Jalapeno,8.0,0.0,6.0,6.0
332,2019-06-30,3000214,Coffee Cake with Streusel,8.0,0.0,6.0,6.0
332,2019-06-30,841402,Almond Croissant,8.0,0.0,5.0,5.0
332,2019-07-01,3000227,Caprese Sandwich,6.0,4.0,6.0,6.0
332,2019-07-01,3000278,Breakfast Burrito Egg Beans & Rice,3.0,0.0,3.0,3.0
332,2019-07-01,820602,Everything Bagel,12.0,0.0,9.0,9.0
332,2019-07-01,820801,Blueberry Scone,6.0,0.0,0.0,0.0
332,2019-07-01,820902,Butter Croissant,10.0,0.0,7.0,7.0
332,2019-07-01,820224,Chocolate Croissant,10.0,0.0,9.0,9.0
332,2019-07-01,810703,Cinnamon Roll,8.0,0.0,5.0,5.0
332,2019-07-01,3000210,Cookie - Chocolate Chunk,4.0,0.0,2.0,2.0
332,2019-07-01,3000159,Egg| Spinach & Cheddar Sandwich on Ciabatta,8.0,2.0,12.0,12.0
332,2019-07-01,3000207,Danish - Classic Cheese,8.0,0.0,2.0,2.0
332,2019-07-01,3000209,Croissant - White Cheddar Jalapeno,8.0,0.0,6.0,6.0
332,2019-07-01,3000214,Coffee Cake with Streusel,8.0,0.0,8.0,8.0
332,2019-07-01,841402,Almond Croissant,8.0,0.0,4.0,4.0
332,2019-07-02,3000227,Caprese Sandwich,6.0,6.0,5.0,5.0
332,2019-07-02,3000278,Breakfast Burrito Egg Beans & Rice,4.0,1.0,2.0,2.0
332,2019-07-02,820602,Everything Bagel,12.0,0.0,11.0,11.0
332,2019-07-02,820801,Blueberry Scone,8.0,0.0,2.0,2.0
332,2019-07-02,820902,Butter Croissant,12.0,0.0,10.0,10.0
332,2019-07-02,820224,Chocolate Croissant,10.0,0.0,6.0,6.0
332,2019-07-02,810703,Cinnamon Roll,8.0,0.0,6.0,6.0
332,2019-07-02,3000210,Cookie - Chocolate Chunk,6.0,0.0,1.0,1.0
332,2019-07-02,3000159,Egg| Spinach & Cheddar Sandwich on Ciabatta,10.0,0.0,12.0,12.0
332,2019-07-02,3000207,Danish - Classic Cheese,6.0,0.0,5.0,5.0
332,2019-07-02,3000209,Croissant - White Cheddar Jalapeno,6.0,0.0,6.0,6.0
332,2019-07-02,3000214,Coffee Cake with Streusel,8.0,0.0,8.0,8.0
332,2019-07-02,841402,Almond Croissant,8.0,0.0,5.0,5.0
332,2019-07-03,3000227,Caprese Sandwich,6.0,1.0,9.0,9.0
332,2019-07-03,3000278,Breakfast Burrito Egg Beans & Rice,3.0,1.0,4.0,4.0
332,2019-07-03,820602,Everything Bagel,12.0,0.0,12.0,12.0
332,2019-07-03,820801,Blueberry Scone,6.0,0.0,6.0,6.0
332,2019-07-03,820902,Butter Croissant,12.0,0.0,9.0,9.0
332,2019-07-03,820224,Chocolate Croissant,10.0,0.0,8.0,8.0
332,2019-07-03,810703,Cinnamon Roll,6.0,0.0,5.0,5.0
332,2019-07-03,3000210,Cookie - Chocolate Chunk,4.0,0.0,2.0,2.0
332,2019-07-03,3000159,Egg| Spinach & Cheddar Sandwich on Ciabatta,8.0,0.0,9.0,9.0
332,2019-07-03,3000207,Danish - Classic Cheese,6.0,0.0,4.0,4.0
332,2019-07-03,3000209,Croissant - White Cheddar Jalapeno,6.0,0.0,6.0,6.0
332,2019-07-03,3000214,Coffee Cake with Streusel,8.0,0.0,7.0,7.0
332,2019-07-03,841402,Almond Croissant,8.0,0.0,8.0,8.0
332,2019-07-04,3000227,Caprese Sandwich,6.0,4.0,1.0,1.0
332,2019-07-04,3000278,Breakfast Burrito Egg Beans & Rice,3.0,0.0,2.0,2.0
332,2019-07-04,820602,Everything Bagel,18.0,6.0,8.0,8.0
332,2019-07-04,820801,Blueberry Scone,4.0,0.0,2.0,2.0
332,2019-07-04,820902,Butter Croissant,8.0,0.0,6.0,6.0
332,2019-07-04,820224,Chocolate Croissant,4.0,0.0,6.0,6.0
332,2019-07-04,810703,Cinnamon Roll,6.0,0.0,5.0,5.0
332,2019-07-04,3000210,Cookie - Chocolate Chunk,4.0,0.0,2.0,2.0
332,2019-07-04,3000159,Egg| Spinach & Cheddar Sandwich on Ciabatta,8.0,0.0,9.0,9.0
332,2019-07-04,3000207,Danish - Classic Cheese,4.0,0.0,4.0,4.0
332,2019-07-04,3000209,Croissant - White Cheddar Jalapeno,4.0,0.0,3.0,3.0
332,2019-07-04,3000214,Coffee Cake with Streusel,8.0,1.0,7.0,7.0
332,2019-07-04,841402,Almond Croissant,4.0,0.0,4.0,4.0
332,2019-07-05,3000227,Caprese Sandwich,5.0,0.0,9.0,9.0
332,2019-07-05,3000278,Breakfast Burrito Egg Beans & Rice,4.0,2.0,1.0,1.0
332,2019-07-05,820602,Everything Bagel,0.0,0.0,6.0,6.0
332,2019-07-05,820801,Blueberry Scone,4.0,0.0,3.0,3.0
332,2019-07-05,820902,Butter Croissant,8.0,0.0,7.0,7.0
332,2019-07-05,820224,Chocolate Croissant,8.0,0.0,8.0,8.0
332,2019-07-05,810703,Cinnamon Roll,8.0,0.0,7.0,7.0
332,2019-07-05,3000210,Cookie - Chocolate Chunk,4.0,0.0,4.0,4.0
332,2019-07-05,3000159,Egg| Spinach & Cheddar Sandwich on Ciabatta,5.0,0.0,5.0,5.0
332,2019-07-05,3000207,Danish - Classic Cheese,6.0,0.0,4.0,4.0
332,2019-07-05,3000209,Croissant - White Cheddar Jalapeno,4.0,0.0,3.0,3.0
332,2019-07-05,3000214,Coffee Cake with Streusel,8.0,0.0,7.0,7.0
332,2019-07-05,841402,Almond Croissant,6.0,0.0,6.0,6.0
332,2019-07-06,3000227,Caprese Sandwich,4.0,0.0,5.0,0.00020312273409217596
332,2019-07-06,3000278,Breakfast Burrito Egg Beans & Rice,2.0,0.0,3.0,-0.0005336428293958306
332,2019-07-06,820602,Everything Bagel,12.0,0.0,11.0,-0.0010542620439082384
332,2019-07-06,820801,Blueberry Scone,6.0,0.0,5.0,-6.174203008413315e-06
332,2019-07-06,820902,Butter Croissant,8.0,0.0,8.0,6.725807907059789e-05
332,2019-07-06,820224,Chocolate Croissant,6.0,0.0,5.0,-0.0007923672674223781
332,2019-07-06,810703,Cinnamon Roll,6.0,0.0,6.0,0.00211807107552886
332,2019-07-06,3000210,Cookie - Chocolate Chunk,6.0,0.0,5.0,-0.0005154124228283763
332,2019-07-06,3000159,Egg| Spinach & Cheddar Sandwich on Ciabatta,7.0,0.0,7.0,-0.002186228521168232
332,2019-07-06,3000207,Danish - Classic Cheese,6.0,0.0,5.0,-0.0008648608345538378
332,2019-07-06,3000209,Croissant - White Cheddar Jalapeno,6.0,0.0,6.0,-0.0003510011883918196
332,2019-07-06,3000214,Coffee Cake with Streusel,8.0,0.0,8.0,0.000464225304313004
